-1000, 731, 1000, 731
-1000, 14, 1000, 14
-1000, 720, 1000, 720
-1000, 26, 1000, 26
905, 1000, 905, -1000
893, 1000, 893, -1000
-1000, 289, 1000, 289
-1000, 467, 1000, 467
-1000, 277, 1000, 277
-1000, 455, 1000, 455
27, 1000, 27, -1000
309, 1000, 309, -1000
14, 1000, 14, -1000
320, 1000, 320, -1000
16, 1000, 16, -1000
-1000, 24, 1000, 24
-1000, 16, 1000, 16
895, 1000, 895, -1000
903, 1000, 903, -1000
-1000, 557, 1000, 557
-1000, 19, 1000, 19
-1000, 21, 1000, 21
900, 1000, 900, -1000
-999, 45, 1000, 11
-1000, -5, 1000, 29
-1000, 568, 1000, 568
-1000, 371, 1000, 371
-1000, 383, 1000, 383
873, -1015, 908, 984
889, 1016, 924, -984
614, 1000, 614, -1000
-999, 47, 1000, 13
